flag_id,primitive,stratum,locus,edge,term_label,section,blanket,in_stratum_d_census,evidence,section_heading,section_excerpt,verdict,rationale
F00250,K-A3,A,L7,,remedy process,404.900,True,False,"RemedyProcess is asserted only under the BFO root(s) ['BFO_0000015'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",Introduction.,"(a) Explanation of the administrative review process. This subpart explains the procedures we follow in determining your rights under title II of the Social Security Act. The regulations describe the process of administrative review and explain your right to judicial review after you have taken all the necessary administrative steps. These procedures apply also to persons claiming certain benefits under title XVIII of the Act (Medicare); see 42 CFR 405.904(a)(1). The administrative review process consists of several steps, which usually must be requested within certain time periods and in the following order: (1) Initial determination. This is a determination we make about your entitlement o",translation,"An abstract spine class authored by this build in Phase 4. It carries a BFO parent and no differentia because its job is to hold a branch together. That is a design decision of the artifact, so the vacuity belongs to the translation."
F00254,K-A3,A,L0,,Avoidant/Restrictive Eating Process,App1-12.00,True,False,"RestrictiveEating is asserted only under the BFO root(s) ['BFO_0000015'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",12.00 Mental Disorders,"A. How are the listings for mental disorders arranged, and what do they require? 1. The listings for mental disorders are arranged in 11 categories: Neurocognitive disorders (12.02); schizophrenia spectrum and other psychotic disorders (12.03); depressive, bipolar and related disorders (12.04); intellectual disorder (12.05); anxiety and obsessive-compulsive disorders (12.06); somatic symptom and related disorders (12.07); personality and impulse-control disorders (12.08); autism spectrum disorder (12.10); neurodevelopmental disorders (12.11); eating disorders (12.13); and trauma- and stressor-related disorders (12.15). 2. Listings 12.07, 12.08, 12.10, 12.11, and 12.13 have two paragraphs, de",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00259,K-A3,A,L0,,Salivary Gland,App1-13.00,True,False,"SalivaryGland is asserted only under the BFO root(s) ['BFO_0000040'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",13.00 Cancer (Malignant Neoplastic Diseases),"A. What impairments do these listings cover? We use these listings to evaluate all cancers (malignant neoplastic diseases) except certain cancers associated with human immunodeficiency virus (HIV) infection. We use the criteria in 14.11B to evaluate primary central nervous system lymphoma, 14.11C to evaluate primary effusion lymphoma, and 14.11E to evaluate pulmonary Kaposi sarcoma if you also have HIV infection. We evaluate all other cancers associated with HIV infection, for example, Hodgkin lymphoma or non-pulmonary Kaposi sarcoma, under this body system or under 14.11F-I in the immune system disorders body system. B. What do we consider when we evaluate cancer under these listings? We wi",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00268,K-A3,A,L1,,social security office,404.1595,True,False,"SocialSecurityOffice is asserted only under the BFO root(s) ['BFO_0000030'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",When we determine that you are not now disabled.,"(a) When we will give you advance notice. Except in those circumstances described in paragraph (d) of this section, we will give you advance notice when we have determined that you are not now disabled because the information we have conflicts with what you have told us about your disability. If your dependents are receiving benefits on your Social Security number and do not live with you, we will also give them advance notice. To give you advance notice, we will contact you by mail, telephone or in person. (b) What the advance notice will tell you. We will give you a summary of the information we have. We will also tell you why we have determined that you are not now disabled, and will give",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00269,K-A3,A,L0,,Sodium Retention,App1-5.00,True,False,"SodiumRetention is asserted only under the BFO root(s) ['BFO_0000015'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",5.00 Digestive Disorders,"A. Which digestive disorders do we evaluate in this body system? We evaluate digestive disorders that result in severe dysfunction of the liver, pancreas, and gastrointestinal tract (the large, muscular tube that extends from the mouth to the anus, where the movement of muscles, along with the release of hormones and enzymes, allows for the digestion of food) in this body system. Examples of these disorders and the listings we use to evaluate them include chronic liver disease (5.05), inflammatory bowel disease (5.06), and intestinal failure (5.07). We also use this body system to evaluate gastrointestinal hemorrhaging from any cause (5.02), weight loss due to any digestive disorder (5.08), ",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00275,K-A3,A,L0,,Standing,App1-11.00,True,False,"Standing is asserted only under the BFO root(s) ['BFO_0000015'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",11.00 Neurological Disorders,"A. Which neurological disorders do we evaluate under these listings? We evaluate epilepsy, amyotrophic lateral sclerosis, coma or persistent vegetative state (PVS), and neurological disorders that cause disorganization of motor function, bulbar and neuromuscular dysfunction, communication impairment, or a combination of limitations in physical and mental functioning. We evaluate neurological disorders that may manifest in a combination of limitations in physical and mental functioning. For example, if you have a neurological disorder that causes mental limitations, such as Huntington's disease or early-onset Alzheimer's disease, which may limit executive functioning (e.g., regulating attenti",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00278,K-A3,A,L1,,State education agency,404.1502,True,False,"StateEducationAgency is asserted only under the BFO root(s) ['BFO_0000030'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",Definitions for this subpart.,"As used in the subpart— (a) Acceptable medical source means a medical source who is a: (1) Licensed physician (medical or osteopathic doctor); (2) Licensed psychologist, which includes: (i) A licensed or certified psychologist at the independent practice level; or (ii) A licensed or certified school psychologist, or other licensed or certified individual with another title who performs the same function as a school psychologist in a school setting, for impairments of intellectual disability, learning disabilities, and borderline intellectual functioning only; (3) Licensed optometrist for impairments of visual disorders, or measurement of visual acuity and visual fields only, depending on the",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00279,K-A3,A,L1,,State professional licensing agency,404.1502,True,False,"StateProfessionalLicensingAgency is asserted only under the BFO root(s) ['BFO_0000030'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",Definitions for this subpart.,"As used in the subpart— (a) Acceptable medical source means a medical source who is a: (1) Licensed physician (medical or osteopathic doctor); (2) Licensed psychologist, which includes: (i) A licensed or certified psychologist at the independent practice level; or (ii) A licensed or certified school psychologist, or other licensed or certified individual with another title who performs the same function as a school psychologist in a school setting, for impairments of intellectual disability, learning disabilities, and borderline intellectual functioning only; (3) Licensed optometrist for impairments of visual disorders, or measurement of visual acuity and visual fields only, depending on the",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00280,K-A3,A,L1,,State Vocational Rehabilitation Agency,404.1590,True,False,"StateVocationalRehabilitationAgency is asserted only under the BFO root(s) ['BFO_0000030'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",When and how often we will conduct a continuing disability review.,"(a) General. We conduct continuing disability reviews to determine whether or not you continue to meet the disability requirements of the law. Payment of cash benefits or a period of disability ends if the medical or other evidence shows that you are not disabled as determined under the standards set out in section 223(f) of the Social Security Act. In paragraphs (b) through (g) of this section, we explain when and how often we conduct continuing disability reviews for most individuals. In paragraph (h) of this section, we explain special rules for some individuals who are participating in the Ticket to Work program. In paragraph (i) of this section, we explain special rules for some individ",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00286,K-A3,A,L0,,Supplemental Nutrition,App1-105.00,True,False,"SupplementalNutrition is asserted only under the BFO root(s) ['BFO_0000015'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",105.00 Digestive Disorders,"A. Which digestive disorders do we evaluate in this body system? We evaluate digestive disorders that result in severe dysfunction of the liver, pancreas, and gastrointestinal tract (the large, muscular tube that extends from the mouth to the anus, where the movement of muscles, along with the release of hormones and enzymes, allows for the digestion of food) in this body system. Examples of these disorders and the listings we use to evaluate them include chronic liver disease (105.05), inflammatory bowel disease (105.06), and intestinal failure (105.07). We also use this body system to evaluate gastrointestinal hemorrhaging from any cause (105.02), growth failure due to any digestive disord",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00293,K-A3,A,L0,,Third party,App1-112.00,False,False,"ThirdParty is asserted only under the BFO root(s) ['BFO_0000023'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",112.00 Mental Disorders,"A. How are the listings for mental disorders for children arranged, and what do they require? 1. The listings for mental disorders for children are arranged in 12 categories: neurocognitive disorders (112.02); schizophrenia spectrum and other psychotic disorders (112.03); depressive, bipolar and related disorders (112.04); intellectual disorder (112.05); anxiety and obsessive-compulsive disorders (112.06); somatic symptom and related disorders (112.07); personality and impulse-control disorders (112.08); autism spectrum disorder (112.10); neurodevelopmental disorders (112.11); eating disorders (112.13); developmental disorders in infants and toddlers (112.14); and trauma- and stressor-relate",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00332,K-B1,B,L0,,Bulbar Region,App1-111.00,False,False,grounding cycle through 'has part': BulbarRegion -> Brain -> BulbarRegion,111.00 Neurological Disorders,"A. Which neurological disorders do we evaluate under these listings? We evaluate epilepsy, coma or persistent vegetative state (PVS), and neurological disorders that cause disorganization of motor function, bulbar and neuromuscular dysfunction, or communication impairment. Under this body system, we evaluate the limitations resulting from the impact of the neurological disease process itself. If you have a neurological disorder(s) that affects your physical and mental functioning, we will evaluate your impairments under the rules we use to determine functional equivalence. If your neurological disorder results in only mental impairment or if you have a co-occurring mental condition that is n",translation,"A mereological cycle - the brain a part of its own bulbar region, mental functioning a part of itself - is not something Appendix 1 states. It is an artefact of the extractor asserting 'has part' in both directions."
F00333,K-B1,B,L0,,Mental Functioning,App1-12.00,False,False,grounding cycle through 'has part': MentalFunctioning -> MentalFunctioning,12.00 Mental Disorders,"A. How are the listings for mental disorders arranged, and what do they require? 1. The listings for mental disorders are arranged in 11 categories: Neurocognitive disorders (12.02); schizophrenia spectrum and other psychotic disorders (12.03); depressive, bipolar and related disorders (12.04); intellectual disorder (12.05); anxiety and obsessive-compulsive disorders (12.06); somatic symptom and related disorders (12.07); personality and impulse-control disorders (12.08); autism spectrum disorder (12.10); neurodevelopmental disorders (12.11); eating disorders (12.13); and trauma- and stressor-related disorders (12.15). 2. Listings 12.07, 12.08, 12.10, 12.11, and 12.13 have two paragraphs, de",translation,"A mereological cycle - the brain a part of its own bulbar region, mental functioning a part of itself - is not something Appendix 1 states. It is an artefact of the extractor asserting 'has part' in both directions."
F00334,K-B2,B,L3,L1->L3,residual functional capacity assessment,404.1594,False,False,"ResidualFunctionalCapacityAssessment is assigned to 7 assessor roles whose authority traces to 3 distinct grants: AppealsCouncilAuthorityRole grants ['AdministrativeAppealsJudgeRole']; CommissionerAuthorityRole grants ['AdministrativeLawJudgeRole', 'AssociateCommissionerForDisabilityDeterminationsRole', 'DisabilityHearingOfficerRole']; StateAgencyAuthorityRole grants ['StateAgencyDisabilityExaminerRole', 'StateAgencyMedicalConsultantRole', 'StateAgencyPsychologicalConsultantRole']. The same function is exercised under unequal grants of authority.",How we will determine whether your disability continues or ends.,"(a) General. There is a statutory requirement that, if you are entitled to disability benefits, your continued entitlement to such benefits must be reviewed periodically. If you are entitled to disability benefits as a disabled worker or as a person disabled since childhood, or, for monthly benefits payable for months after December 1990, as a disabled widow, widower, or surviving divorced spouse, there are a number of factors we consider in deciding whether your disability continues. We must determine if there has been any medical improvement in your impairment(s) and, if so, whether this medical improvement is related to your ability to work. If your impairment(s) has not medically improve",regulation,"404.1546 really does assign responsibility for one and the same residual functional capacity assessment to State agency medical and psychological consultants, to a disability examiner alone, to a disability hearing officer, to the Associate Commissioner or a delegate, to an administrative law judge and to an administrative appeals judge. Those occupants do not hold one grant: the State agency acts under a delegation from the Commissioner (404.1503), the Appeals Council under its own review authority (404.967). The regulation, not the translation, assigns one function across unequal grants of authority."
F00335,K-C2,C,L0,,Anatomical Abnormality,App1-1.01,False,False,AnatomicalAbnormality is an occurrent asserted as 'bearer of Observability'. A process does not bear a realizable.,"1.01 Category of Impairments, Musculoskeletal Disorders","1.15 Disorders of the skeletal spine resulting in compromise of a nerve root(s) (see 1.00F), documented by A, B, C, and D: A. Neuro-anatomic (radicular) distribution of one or more of the following symptoms consistent with compromise of the affected nerve root(s): 1. Pain; or 2. Paresthesia; or 3. Muscle fatigue. AND B. Radicular distribution of neurological signs present during physical examination (see 1.00C2) or on a diagnostic test (see 1.00C3) and evidenced by 1, 2, and either 3 or 4: 1. Muscle weakness; and 2. Sign(s) of nerve root irritation, tension, or compression, consistent with compromise of the affected nerve root (see 1.00F2); and 3. Sensory changes evidenced by: a. Decreased s",translation,"The regulation describes organs, orthoses and anatomical abnormalities; it does not claim that a heart is realized in cardiac pumping. Confusing a bearer with the realizable it bears is a modelling error introduced in translation. What the text supports is that the heart has a function which is realized in pumping."
F00336,K-C2,C,L0,,Anatomical Abnormality,App1-1.01,False,False,"AnatomicalAbnormality is asserted 'realized in PhysicalExamination' but is not grounded as a realizable entity. Only roles, dispositions and functions are realized.","1.01 Category of Impairments, Musculoskeletal Disorders","1.15 Disorders of the skeletal spine resulting in compromise of a nerve root(s) (see 1.00F), documented by A, B, C, and D: A. Neuro-anatomic (radicular) distribution of one or more of the following symptoms consistent with compromise of the affected nerve root(s): 1. Pain; or 2. Paresthesia; or 3. Muscle fatigue. AND B. Radicular distribution of neurological signs present during physical examination (see 1.00C2) or on a diagnostic test (see 1.00C3) and evidenced by 1, 2, and either 3 or 4: 1. Muscle weakness; and 2. Sign(s) of nerve root irritation, tension, or compression, consistent with compromise of the affected nerve root (see 1.00F2); and 3. Sensory changes evidenced by: a. Decreased s",translation,"The regulation describes organs, orthoses and anatomical abnormalities; it does not claim that a heart is realized in cardiac pumping. Confusing a bearer with the realizable it bears is a modelling error introduced in translation. What the text supports is that the heart has a function which is realized in pumping."
F00337,K-C2,C,L0,,Anatomical Abnormality,App1-1.01,False,False,"AnatomicalAbnormality is asserted 'realized in MedicalImaging' but is not grounded as a realizable entity. Only roles, dispositions and functions are realized.","1.01 Category of Impairments, Musculoskeletal Disorders","1.15 Disorders of the skeletal spine resulting in compromise of a nerve root(s) (see 1.00F), documented by A, B, C, and D: A. Neuro-anatomic (radicular) distribution of one or more of the following symptoms consistent with compromise of the affected nerve root(s): 1. Pain; or 2. Paresthesia; or 3. Muscle fatigue. AND B. Radicular distribution of neurological signs present during physical examination (see 1.00C2) or on a diagnostic test (see 1.00C3) and evidenced by 1, 2, and either 3 or 4: 1. Muscle weakness; and 2. Sign(s) of nerve root irritation, tension, or compression, consistent with compromise of the affected nerve root (see 1.00F2); and 3. Sensory changes evidenced by: a. Decreased s",translation,"The regulation describes organs, orthoses and anatomical abnormalities; it does not claim that a heart is realized in cardiac pumping. Confusing a bearer with the realizable it bears is a modelling error introduced in translation. What the text supports is that the heart has a function which is realized in pumping."
F00338,K-C2,C,L0,,Heart,App1-4.00,False,False,"Heart is asserted 'realized in CardiacPumping' but is not grounded as a realizable entity. Only roles, dispositions and functions are realized.",4.00 Cardiovascular System,"A. General 1. What do we mean by a cardiovascular impairment? a. We mean any disorder that affects the proper functioning of the heart or the circulatory system (that is, arteries, veins, capillaries, and the lymphatic drainage). The disorder can be congenital or acquired. b. Cardiovascular impairment results from one or more of four consequences of heart disease: (i) Chronic heart failure or ventricular dysfunction. (ii) Discomfort or pain due to myocardial ischemia, with or without necrosis of heart muscle. (iii) Syncope, or near syncope, due to inadequate cerebral perfusion from any cardiac cause, such as obstruction of flow or disturbance in rhythm or conduction resulting in inadequate c",translation,"The regulation describes organs, orthoses and anatomical abnormalities; it does not claim that a heart is realized in cardiac pumping. Confusing a bearer with the realizable it bears is a modelling error introduced in translation. What the text supports is that the heart has a function which is realized in pumping."
F00339,K-C2,C,L0,,Orthosis,App1-1.00,False,False,"Orthosis is asserted 'realized in Support' but is not grounded as a realizable entity. Only roles, dispositions and functions are realized.",1.00 Musculoskeletal Disorders,"A. Which musculoskeletal disorders do we evaluate under these listings? 1. We evaluate disorders of the skeletal spine (vertebral column) or of the upper or lower extremities that affect musculoskeletal functioning under these listings. We use the term “skeletal” when we are referring to the structure of the bony skeleton. The skeletal spine refers to the bony structures, ligaments, and discs making up the spine. We refer to the skeletal spine in some musculoskeletal listings to differentiate it from the neurological spine (see 1.00B1). Musculoskeletal disorders may be congenital or acquired, and may include deformities, amputations, or other abnormalities. These disorders may involve the bo",translation,"The regulation describes organs, orthoses and anatomical abnormalities; it does not claim that a heart is realized in cardiac pumping. Confusing a bearer with the realizable it bears is a modelling error introduced in translation. What the text supports is that the heart has a function which is realized in pumping."
F00340,K-C2,C,L0,,Orthosis,App1-1.00,False,False,"Orthosis is asserted 'realized in Alignment' but is not grounded as a realizable entity. Only roles, dispositions and functions are realized.",1.00 Musculoskeletal Disorders,"A. Which musculoskeletal disorders do we evaluate under these listings? 1. We evaluate disorders of the skeletal spine (vertebral column) or of the upper or lower extremities that affect musculoskeletal functioning under these listings. We use the term “skeletal” when we are referring to the structure of the bony skeleton. The skeletal spine refers to the bony structures, ligaments, and discs making up the spine. We refer to the skeletal spine in some musculoskeletal listings to differentiate it from the neurological spine (see 1.00B1). Musculoskeletal disorders may be congenital or acquired, and may include deformities, amputations, or other abnormalities. These disorders may involve the bo",translation,"The regulation describes organs, orthoses and anatomical abnormalities; it does not claim that a heart is realized in cardiac pumping. Confusing a bearer with the realizable it bears is a modelling error introduced in translation. What the text supports is that the heart has a function which is realized in pumping."
F00341,K-C3,C,L0,,Anatomical Abnormality,App1-1.01,False,False,"AnatomicalAbnormality carries a restriction on BFO_0000196, whose declared domain is ['BFO_0000004'], but AnatomicalAbnormality is not under that domain.","1.01 Category of Impairments, Musculoskeletal Disorders","1.15 Disorders of the skeletal spine resulting in compromise of a nerve root(s) (see 1.00F), documented by A, B, C, and D: A. Neuro-anatomic (radicular) distribution of one or more of the following symptoms consistent with compromise of the affected nerve root(s): 1. Pain; or 2. Paresthesia; or 3. Muscle fatigue. AND B. Radicular distribution of neurological signs present during physical examination (see 1.00C2) or on a diagnostic test (see 1.00C3) and evidenced by 1, 2, and either 3 or 4: 1. Muscle weakness; and 2. Sign(s) of nerve root irritation, tension, or compression, consistent with compromise of the affected nerve root (see 1.00F2); and 3. Sensory changes evidenced by: a. Decreased s",translation,"A restriction used outside the domain or range its own property declares is a defect of the formalization. It is compounded here by the baseline's use of the BFO 2.0 relation IRIs BFO_0000196 and BFO_0000197, which BFO 2020 does not declare at all."
F00342,K-C3,C,L0,,Clinical Significance,App1-114.00,False,False,"ClinicalSignificance asserts BFO_0000197 some DailyFunctioning, but the declared range of BFO_0000197 is ['BFO_0000004'] and DailyFunctioning is not under it.",114.00 Immune System Disorders,"A. What disorders do we evaluate under the immune system disorders listings? 1. We evaluate immune system disorders that cause dysfunction in one or more components of your immune system. a. The dysfunction may be due to problems in antibody production, impaired cell-mediated immunity, a combined type of antibody/cellular deficiency, impaired phagocytosis, or complement deficiency. b. Immune system disorders may result in recurrent and unusual infections, or inflammation and dysfunction of the body's own tissues. Immune system disorders can cause a deficit in a single organ or body system that results in extreme (that is, very serious) loss of function. They can also cause lesser degrees of ",translation,"A restriction used outside the domain or range its own property declares is a defect of the formalization. It is compounded here by the baseline's use of the BFO 2.0 relation IRIs BFO_0000196 and BFO_0000197, which BFO 2020 does not declare at all."
F00343,K-C3,C,L0,,Unlimited Functional Capacity,404.1594,False,False,"UnlimitedFunctionalCapacity asserts BFO_0000197 some FunctionalCapacity, but the declared range of BFO_0000197 is ['BFO_0000004'] and FunctionalCapacity is not under it.",How we will determine whether your disability continues or ends.,"(a) General. There is a statutory requirement that, if you are entitled to disability benefits, your continued entitlement to such benefits must be reviewed periodically. If you are entitled to disability benefits as a disabled worker or as a person disabled since childhood, or, for monthly benefits payable for months after December 1990, as a disabled widow, widower, or surviving divorced spouse, there are a number of factors we consider in deciding whether your disability continues. We must determine if there has been any medical improvement in your impairment(s) and, if so, whether this medical improvement is related to your ability to work. If your impairment(s) has not medically improve",translation,"A restriction used outside the domain or range its own property declares is a defect of the formalization. It is compounded here by the baseline's use of the BFO 2.0 relation IRIs BFO_0000196 and BFO_0000197, which BFO 2020 does not declare at all."
F00344,K-D3,D,L7,L7,dismissal on res judicata,404.957,False,True,"ResJudicataDismissal and AdministrativeLawJudgeHearing are both repair paths over ReconsideredDetermination, and ResJudicataDismissal excludes AdministrativeLawJudgeHearing, so one path's availability is the other's bar. Preconditions on ResJudicataDismissal: ['PriorFinalDetermination'].",Dismissal of a request for a hearing before an administrative law judge.,"An administrative law judge may dismiss a request for a hearing under any of the following conditions: (a) At any time before notice of the hearing decision is mailed, you or the party or parties that requested the hearing ask to withdraw the request. This request may be submitted in writing to the administrative law judge or made orally at the hearing. (b)(1)(i) Neither you nor the person you designate to act as your representative appears at the time and place set for the hearing and you have been notified before the time set for the hearing that your request for hearing may be dismissed without further notice if you did not appear at the time and place of hearing, and good cause has not b",regulation,"404.957(c)(1) directs dismissal of a request for a hearing where a previous determination on the same facts and issues has become final, while 404.988 makes that same finality the precondition for reopening the determination. One provision treats finality as the reason to refuse further review and the other treats it as the occasion for it. Both texts are in the corpus and neither is an artefact of how they were formalized."
F00345,K-D3,D,L7,L7,dismissal on res judicata,404.957,False,True,"['PriorFinalDetermination'] is a precondition of both ResJudicataDismissal and Reopening. Its holding triggers ResJudicataDismissal, which bars AdministrativeLawJudgeHearing, while the same condition keeps Reopening open. One path's precondition is another path's exclusion, so whether the determination can be revisited depends on which route is taken rather than on whether the condition obtains.",Dismissal of a request for a hearing before an administrative law judge.,"An administrative law judge may dismiss a request for a hearing under any of the following conditions: (a) At any time before notice of the hearing decision is mailed, you or the party or parties that requested the hearing ask to withdraw the request. This request may be submitted in writing to the administrative law judge or made orally at the hearing. (b)(1)(i) Neither you nor the person you designate to act as your representative appears at the time and place set for the hearing and you have been notified before the time set for the hearing that your request for hearing may be dismissed without further notice if you did not appear at the time and place of hearing, and good cause has not b",regulation,"404.957(c)(1) directs dismissal of a request for a hearing where a previous determination on the same facts and issues has become final, while 404.988 makes that same finality the precondition for reopening the determination. One provision treats finality as the reason to refuse further review and the other treats it as the occasion for it. Both texts are in the corpus and neither is an artefact of how they were formalized."
